-32.0,-0.9675,-0.9675,-0.9675,-0.9675,-0.9675,-0.9675,-0.9675,-0.9675,-0.9675,-0.9675,-0.9675
-30.0,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
-28.0,-0.9960,-0.9960,-0.9960,-0.9960,-0.9550,-0.9400,-0.9460,-0.9440,-0.9300,-0.9220,-0.9180
-26.0,-0.9920,-0.9920,-0.9920,-0.9920,-0.9600,-0.9300,-0.9420,-0.9380,-0.9100,-0.8940,-0.8860
-24.0,-0.9880,-0.9880,-0.9880,-0.9880,-0.9620,-0.9200,-0.9380,-0.9320,-0.8900,-0.8660,-0.8540
-22.0,-0.9840,-0.9840,-0.9840,-0.9840,-0.9640,-0.9250,-0.9340,-0.9260,-0.8700,-0.8380,-0.8220
-20.0,-0.9800,-0.9800,-0.9800,-0.9800,-0.9660,-0.9300,-0.9300,-0.9200,-0.8500,-0.8100,-0.7900
-18.0,-0.9760,-0.9760,-0.9760,-0.9760,-0.9680,-0.9350,-0.9260,-0.9140,-0.8300,-0.7820,-0.7580
-16.0,-0.9720,-0.9720,-0.9720,-0.9720,-0.9700,-0.9400,-0.9220,-0.9080,-0.9100,-0.7540,-0.7260
-14.0,-1.0700,-1.0700,-1.0700,-1.0700,-0.8200,-0.8000,-0.8050,-0.8800,-0.8000,-0.7260,-0.6940
-12.0,-0.7240,-0.7240,-0.7240,-0.7240,-0.5350,-0.5250,-0.6600,-0.8300,-0.7900,-0.6980,-0.6620
-10.0,-0.3700,-0.3700,-0.3700,-0.3700,-0.2400,-0.4000,-0.6000,-0.7800,-0.8100,-0.6700,-0.6300
-8.0,-0.1900,-0.1900,-0.1900,-0.1900,-0.3000,-0.3000,-0.5500,-0.7350,-0.7500,-0.6650,-0.6200
-6.0,-0.3900,-0.3900,-0.3900,-0.3900,-0.4500,-0.3200,-0.5200,-0.6400,-0.6900,-0.6600,-0.6100
-4.0,-0.4500,-0.4500,-0.4500,-0.4500,-0.4200,-0.4400,-0.4700,-0.5900,-0.4700,-0.5400,-0.4250
-2.0,-0.1900,-0.1900,-0.1900,-0.1900,-0.1850,-0.1950,-0.1950,-0.2550,-0.2500,-0.4100,-0.2400
0.0,0.0300,0.0300,0.0300,0.0300,0.0500,0.0500,0.0750,0.0700,0.0800,-0.1500,-0.0500
2.0,0.2430,0.2430,0.2430,0.2430,0.2800,0.2950,0.3400,0.3950,0.3500,0.1400,0.2000
4.0,0.4600,0.4600,0.4600,0.4600,0.5100,0.5300,0.6130,0.7200,0.5600,0.3900,0.4500
6.0,0.6700,0.6700,0.6700,0.6700,0.7500,0.7800,0.8400,0.8300,0.7050,0.6400,0.7000
8.0,0.8900,0.8900,0.8900,0.8900,0.9800,0.9600,0.9150,0.8770,0.9100,0.7650,0.8000
10.0,1.1000,1.1000,1.1000,1.1000,1.1700,1.0100,0.9470,0.9200,0.8450,0.8100,0.8500
12.0,1.2500,1.2500,1.2500,1.2500,1.1300,0.9600,1.0000,0.9230,0.8450,0.8300,0.8650
14.0,1.1000,1.1000,1.1000,1.1000,1.0300,1.0800,1.0540,0.9300,0.8500,0.8500,0.8800
16.0,0.9800,0.9800,0.9800,0.9800,0.9600,1.0600,1.0800,0.9200,0.8600,0.8700,0.8950
18.0,0.9828,0.9828,0.9828,0.9828,0.9657,1.0700,1.0630,0.8950,0.8800,0.8850,0.9100
20.0,0.9856,0.9856,0.9856,0.9856,0.9714,1.0600,1.0530,0.9000,0.9000,0.9050,0.9250
22.0,0.9884,0.9884,0.9884,0.9884,0.9771,1.0500,1.0420,0.9200,0.9200,0.9250,0.9400
24.0,0.9912,0.9912,0.9912,0.9912,0.9828,1.0350,1.0310,0.9400,0.9400,0.9400,0.9550
26.0,0.9940,0.9940,0.9940,0.9940,0.9885,1.0200,1.0200,0.9700,0.9600,0.9600,0.9700
28.0,0.9970,0.9970,0.9970,0.9970,0.9942,1.0100,1.0100,0.9850,0.9800,0.9800,0.9850
30.0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
32.0,0.9675,0.9675,0.9675,0.9675,0.9675,0.9675,0.9675,0.9675,0.9675,0.9675,0.9675
